gateway_txn_id,order_ref,gross_amount,fee_pct,fee_amount,net_settled,utr,settlement_date
rzp_pay_88034,ORD10035,4744.87,0.02,94.9,4649.97,UTR556034,2026-03-17
rzp_pay_88059,ORD10057,3355.39,0.02,67.11,3288.28,UTR556059,2026-03-15
rzp_pay_88006,ORD10007,1833.2,0.02,36.66,1796.54,UTR556006,2026-03-15
rzp_pay_88001,ORD10002,734.39,0.02,14.69,719.7,UTR556001,2026-03-23
rzp_pay_88037,ORD10038,780.82,0.0236,18.43,762.39,UTR556037,2026-03-16
rzp_pay_88012,ORD10013,4359.12,0.02,87.18,4271.94,UTR556012,2026-03-10
rzp_pay_88011,ORD10012,419.96,0.02,8.4,411.56,UTR556011,2026-03-04
rzp_pay_88041,ORD10042,2965.82,0.0236,69.99,2895.83,UTR556041,2026-03-21
rzp_pay_88050,ORD10050,2658.55,0.02,53.17,1822.08,UTR556050,2026-03-04
rzp_pay_88027,ORD10028,959.16,0.02,19.18,939.98,UTR556027,2026-03-15
rzp_pay_88051,ORD10051,4786.37,0.02,95.73,2435.15,UTR556051,2026-03-16
rzp_pay_88043,ORD10044,4346.42,0.015,65.2,4281.22,UTR556043,2026-03-16
rzp_pay_88007,ORD10008,645.18,0.02,12.9,632.28,UTR556007,2026-03-05
rzp_pay_88016,ORD10017,1495.75,0.02,29.91,1465.84,UTR556016,2026-03-14
rzp_pay_88014,ORD10015,3416.84,0.02,68.34,3348.5,UTR556014,2026-03-08
rzp_pay_88023,ORD10024,967.91,0.02,19.36,948.55,UTR556023,2026-03-23
rzp_pay_88047,ORD10048,442.82,0.02,8.86,433.96,UTR556047,2026-03-07
rzp_pay_88053,ORD10052,3186.83,0.02,63.74,1844.54,UTR556053,2026-03-08
rzp_pay_88020,ORD10021,1383.81,0.02,27.68,1356.13,UTR556020,2026-03-07
rzp_pay_88055,ORD10053,440.68,0.02,8.81,431.87,UTR556055,2026-03-03
rzp_pay_88009,ORD10010,4870.96,0.02,97.42,4773.54,UTR556009,2026-03-06
rzp_pay_88028,ORD10029,2636.87,0.02,52.74,2584.13,UTR556028,2026-03-07
rzp_pay_88060,ORD10058,1345.69,0.02,26.91,1318.78,UTR556060,2026-03-12
rzp_pay_88036,ORD10037,3622.16,0.03,108.66,3513.5,UTR556036,2026-03-09
rzp_pay_88038,ORD10039,2858.82,0.0236,67.47,2791.35,UTR556038,2026-03-20
rzp_pay_88024,ORD10025,2031.77,0.02,40.64,1991.13,UTR556024,2026-03-15
rzp_pay_88054,ORD10052,3186.83,0.02,63.74,1278.55,UTR556054,2026-03-09
rzp_pay_88003,ORD10004,343.03,0.02,6.86,336.17,UTR556003,2026-03-03
rzp_pay_88035,ORD10036,2231.06,0.02,44.62,2186.44,UTR556035,2026-03-21
rzp_pay_88010,ORD10011,4181.14,0.02,83.62,4097.52,UTR556010,2026-03-12
rzp_pay_88058,ORD10056,1381.83,0.02,27.64,1354.19,UTR556058,2026-03-20
rzp_pay_88045,ORD10046,2774.17,0.02,55.48,2718.69,UTR556045,2026-03-10
rzp_pay_88057,ORD10055,528.9,0.02,10.58,518.32,UTR556057,2026-03-07
rzp_pay_88061,ORD10059,1639.99,0.02,32.8,1607.19,UTR556061,2026-03-22
