bank_txn_id,utr,credited_amount,value_date,narration
BANKTXN55014,UTR556014,3348.5,2026-03-08,NEFT-RAZORPAY-SETTLEMENT-UTR556014
BANKTXN55052,UTR556052,2255.49,2026-03-15,NEFT-RAZORPAY-SETTLEMENT-UTR556052
BANKTXN55051,UTR556051,2435.15,2026-03-16,NEFT-RAZORPAY-SETTLEMENT-UTR556051
BANKTXN55001,UTR556001,719.7,2026-03-23,NEFT-RAZORPAY-SETTLEMENT-UTR556001
BANKTXN55043,UTR556043,4281.22,2026-03-16,NEFT-RAZORPAY-SETTLEMENT-UTR556043
BANKTXN55049,UTR556049,783.3,2026-03-04,NEFT-RAZORPAY-SETTLEMENT-UTR556049
BANKTXN55050,UTR556050,1822.08,2026-03-04,NEFT-RAZORPAY-SETTLEMENT-UTR556050
BANKTXN55013,UTR556013,4119.66,2026-03-22,NEFT-RAZORPAY-SETTLEMENT-UTR556013
BANKTXN55037,UTR556037,762.39,2026-03-16,NEFT-RAZORPAY-SETTLEMENT-UTR556037
BANKTXN55025,UTR556025,4245.11,2026-03-19,NEFT-RAZORPAY-SETTLEMENT-UTR556025
BANKTXN55058,UTR556056,936.57,2026-03-18,NEFT-RAZORPAY-SETTLEMENT-UTR556056
BANKTXN55061,UTR556059,3287.78,2026-03-15,NEFT-RAZORPAY-SETTLEMENT-UTR556059
BANKTXN55047,UTR556047,433.96,2026-03-07,NEFT-RAZORPAY-SETTLEMENT-UTR556047
BANKTXN55046,UTR556046,2372.2,2026-03-12,NEFT-RAZORPAY-SETTLEMENT-UTR556046
BANKTXN55021,UTR556021,2074.78,2026-03-20,NEFT-RAZORPAY-SETTLEMENT-UTR556021
BANKTXN55063,UTR556061,1607.19,2026-03-22,NEFT-RAZORPAY-SETTLEMENT-UTR556061
BANKTXN55028,UTR556028,2584.13,2026-03-07,NEFT-RAZORPAY-SETTLEMENT-UTR556028
BANKTXN55039,UTR556039,475.35,2026-03-22,NEFT-RAZORPAY-SETTLEMENT-UTR556039
BANKTXN55007,UTR556007,632.28,2026-03-05,NEFT-RAZORPAY-SETTLEMENT-UTR556007
BANKTXN55003,UTR556003,336.17,2026-03-03,NEFT-RAZORPAY-SETTLEMENT-UTR556003
BANKTXN55053,UTR556053,1844.54,2026-03-08,NEFT-RAZORPAY-SETTLEMENT-UTR556053
BANKTXN55038,UTR556038,2791.35,2026-03-20,NEFT-RAZORPAY-SETTLEMENT-UTR556038
BANKTXN55012,UTR556012,4271.94,2026-03-10,NEFT-RAZORPAY-SETTLEMENT-UTR556012
BANKTXN55017,UTR556017,4061.76,2026-03-10,NEFT-RAZORPAY-SETTLEMENT-UTR556017
BANKTXN55008,UTR556008,1440.31,2026-03-21,NEFT-RAZORPAY-SETTLEMENT-UTR556008
BANKTXN55002,UTR556002,3660.36,2026-03-06,NEFT-RAZORPAY-SETTLEMENT-UTR556002
BANKTXN55022,UTR556022,623.64,2026-03-17,NEFT-RAZORPAY-SETTLEMENT-UTR556022
BANKTXN55035,UTR556035,2186.44,2026-03-21,NEFT-RAZORPAY-SETTLEMENT-UTR556035
BANKTXN55054,UTR556054,1278.55,2026-03-09,NEFT-RAZORPAY-SETTLEMENT-UTR556054
BANKTXN55044,UTR556044,3961.98,2026-03-14,NEFT-RAZORPAY-SETTLEMENT-UTR556044
BANKTXN55026,UTR556026,3728.13,2026-03-20,NEFT-RAZORPAY-SETTLEMENT-UTR556026
BANKTXN55033,UTR556033,4034.57,2026-03-17,NEFT-RAZORPAY-SETTLEMENT-UTR556033
BANKTXN55042,UTR556042,645.31,2026-03-06,NEFT-RAZORPAY-SETTLEMENT-UTR556042
BANKTXN55023,UTR556023,948.55,2026-03-23,NEFT-RAZORPAY-SETTLEMENT-UTR556023
BANKTXN55036,UTR556036,3513.5,2026-03-09,NEFT-RAZORPAY-SETTLEMENT-UTR556036
